Hello
Hide Table  Update CSV
category;mcc;edited_description
undefined;3250;Airlines
undefined;3251;ALOHA AIRLINES
undefined;3252;ALM
undefined;3253;AMERICA WEST
undefined;3254;TRUMP AIRLINE
undefined;3255;Airlines
undefined;3256;ALASKA AIRLINES
undefined;3257;Airlines
undefined;3258;Airlines
undefined;3259;AMERICAN TRANS AIR
undefined;3260;Airlines
undefined;3261;AIR CHINA
undefined;3262;RENO AIR, INC.
undefined;3263;Airlines
undefined;3264;Airlines
undefined;3265;Airlines
undefined;3266;AIR SEYCHELLES
undefined;3267;AIR PANAMA
undefined;3268;Airlines
undefined;3269;Airlines
undefined;3270;Airlines
undefined;3271;Airlines
undefined;3272;Airlines
undefined;3273;Airlines
undefined;3274;Airlines
undefined;3275;Airlines
undefined;3276;Airlines
undefined;3277;Airlines
undefined;3278;Airlines
undefined;3279;Airlines
undefined;3280;AIR JAMAICA
undefined;3281;Airlines
undefined;3282;AIR DJIBOUTI
undefined;3283;Airlines
undefined;3284;AERO VIRGIN ISLANDS
undefined;3285;AERO PERU
undefined;3286;AEROLINEAS NICARAGUENSIS
undefined;3287;AERO COACH AVAIATION
undefined;3288;Airlines
undefined;3289;Airlines
undefined;3290;Airlines
undefined;3291;ARIANA AFGHAN
undefined;3292;CYPRUS AIRWAYS
undefined;3293;ECUATORIANA
undefined;3294;ETHIOPIAN AIRLINES
undefined;3295;KENYA AIRLINES
undefined;3296;Airlines
undefined;3297;Airlines
undefined;3298;AIR MAURITIUS
undefined;3299;WIDERO’S FLYVESELSKAP
undefined;3351;AFFILIATED AUTO RENTAL
undefined;3352;AMERICAN INTL RENT-A-CAR
undefined;3353;BROOKS RENT-A-CAR
undefined;3354;ACTION AUTO RENTAL
undefined;3355;Car Rental
undefined;3356;Car Rental
undefined;3357;HERTZ RENT-A-CAR
undefined;3358;Car Rental
undefined;3359;PAYLESS CAR RENTAL
undefined;3360;SNAPPY CAR RENTAL
undefined;3361;AIRWAYS RENT-A-CAR
undefined;3362;ALTRA AUTO RENTAL
undefined;3363;Car Rental
undefined;3364;AGENCY RENT-A-CAR
undefined;3365;Car Rental
undefined;3366;BUDGET RENT-A-CAR
undefined;3367;Car Rental
undefined;3368;HOLIDAY RENT-A-WRECK
undefined;3369;Car Rental
undefined;3370;RENT-A-WRECK
undefined;3371;Car Rental
undefined;3372;Car Rental
undefined;3373;Car Rental
undefined;3374;Car Rental
undefined;3375;Car Rental
undefined;3376;AJAX RENT-A-CAR
undefined;3377;Car Rental
undefined;3378;Car Rental
undefined;3379;Car Rental
undefined;3380;Car Rental
undefined;3381;EUROP CAR
undefined;3382;Car Rental
undefined;3383;Car Rental
undefined;3384;Car Rental
undefined;3385;TROPICAL RENT-A-CAR
undefined;3386;SHOWCASE RENTAL CARS
undefined;3387;ALAMO RENT-A-CAR
undefined;3388;Car Rental
undefined;3389;AVIS RENT-A-CAR
undefined;3390;DOLLAR RENT-A-CAR
undefined;3391;EUROPE BY CAR
undefined;3392;Car Rental
undefined;3393;NATIONAL CAR RENTAL
undefined;3394;KEMWELL GROUP RENT-A-CAR
undefined;3395;THRIFTY RENT-A-CAR
undefined;3396;TILDEN TENT-A-CAR
undefined;3397;Car Rental
undefined;3398;ECONO-CAR RENT-A-CAR
undefined;3399;Car Rental
undefined;3400;AUTO HOST COST CAR RENTALS
undefined;3401;Car Rental
undefined;3402;Car Rental
undefined;3403;Car Rental
undefined;3404;Car Rental
undefined;3405;ENTERPRISE RENT-A-CAR
undefined;3406;Car Rental
undefined;3407;Car Rental
undefined;3408;Car Rental
undefined;3409;GENERAL RENT-A-CAR
undefined;3410;Car Rental
undefined;3411;Car Rental
undefined;3412;A-1 RENT-A-CAR
undefined;3413;Car Rental
undefined;3414;GODFREY NATL RENT-A-CAR
undefined;3415;Car Rental
undefined;3416;Car Rental
undefined;3417;Car Rental
undefined;3418;Car Rental
undefined;3419;ALPHA RENT-A-CAR
undefined;3420;ANSA INTL RENT-A-CAR
undefined;3421;ALLSTAE RENT-A-CAR
undefined;3422;Car Rental
undefined;3423;AVCAR RENT-A-CAR
undefined;3424;Car Rental
undefined;3425;AUTOMATE RENT-A-CAR
undefined;3426;Car Rental
undefined;3427;AVON RENT-A-CAR
undefined;3428;CAREY RENT-A-CAR
undefined;3429;INSURANCE RENT-A-CAR
undefined;3430;MAJOR RENT-A-CAR
undefined;3431;REPLACEMENT RENT-A-CAR
undefined;3432;RESERVE RENT-A-CAR
undefined;3433;UGLY DUCKLING RENT-A-CAR
undefined;3434;USA RENT-A-CAR
undefined;3435;VALUE RENT-A-CAR
undefined;3436;AUTOHANSA RENT-A-CAR
undefined;3437;CITE RENT-A-CAR
undefined;3438;INTERENT RENT-A-CAR
undefined;3439;MILLEVILLE RENT-A-CAR
undefined;3440;VIA ROUTE RENT-A-CAR
undefined;3441;Car Rental
undefined;3501;HOLIDAY INNS, HOLIDAY INN EXPRESS
undefined;3502;BEST WESTERN HOTELS
undefined;3503;SHERATON HOTELS
undefined;3504;HILTON HOTELS
undefined;3505;FORTE HOTELS
undefined;3506;GOLDEN TULIP HOTELS
undefined;3507;FRIENDSHIP INNS
undefined;3508;QUALITY INNS, QUALITY SUITES
undefined;3509;MARRIOTT HOTELS
undefined;3510;DAYS INN, DAYSTOP
undefined;3511;ARABELLA HOTELS
undefined;3512;INTER-CONTINENTAL HOTELS
undefined;3513;WESTIN HOTELS
undefined;3514;Hotels/Motels/Inns/Resorts
undefined;3515;RODEWAY INNS
undefined;3516;LA QUINTA MOTOR INNS
undefined;3517;AMERICANA HOTELS
undefined;3518;SOL HOTELS
undefined;3519;PULLMAN INTERNATIONAL HOTELS
undefined;3520;MERIDIEN HOTELS
undefined;3521;CREST HOTELS (see FORTE HOTELS)
undefined;3522;TOKYO HOTEL
undefined;3523;PENNSULA HOTEL
undefined;3524;WELCOMGROUP HOTELS
undefined;3525;DUNFEY HOTELS
undefined;3526;Hotels/Motels/Inns/Resorts
undefined;3527;DOWNTOWNER-PASSPORT HOTEL
undefined;3528;RED LION HOTELS, RED LION INNS
undefined;3529;CP HOTELS
undefined;3530;RENAISSANCE HOTELS, STOUFFER HOTELS
undefined;3531;ASTIR HOTELS
undefined;3532;SUN ROUTE HOTELS
undefined;3533;HOTEL IBIS
undefined;3534;SOUTHERN PACIFIC HOTELS
undefined;3535;HILTON INTERNATIONAL
undefined;3536;AMFAC HOTELS
undefined;3537;ANA HOTEL
undefined;3538;CONCORDE HOTELS
undefined;3539;Hotels/Motels/Inns/Resorts
undefined;3540;IBEROTEL HOTELS
undefined;3541;HOTEL OKURA
undefined;3542;ROYAL HOTELS
undefined;3543;FOUR SEASONS HOTELS
undefined;3544;CIGA HOTELS
undefined;3545;SHANGRI-LA INTERNATIONAL
undefined;3546;Hotels/Motels/Inns/Resorts
undefined;3547;Hotels/Motels/Inns/Resorts
undefined;3548;HOTELES MELIA
undefined;3549;AUBERGE DES GOVERNEURS
undefined;3550;REGAL 8 INNS
undefined;3551;Hotels/Motels/Inns/Resorts
undefined;3552;COAST HOTELS
undefined;3553;PARK INNS INTERNATIONAL
undefined;3554;Hotels/Motels/Inns/Resorts
undefined;3555;Hotels/Motels/Inns/Resorts
undefined;3556;Hotels/Motels/Inns/Resorts
undefined;3557;Hotels/Motels/Inns/Resorts
undefined;3558;JOLLY HOTELS
undefined;3559;Hotels/Motels/Inns/Resorts
undefined;3560;Hotels/Motels/Inns/Resorts
undefined;3561;Hotels/Motels/Inns/Resorts
undefined;3562;COMFORT INNS
undefined;3563;JOURNEY’S END MOTLS
undefined;3564;Hotels/Motels/Inns/Resorts
undefined;3565;RELAX INNS
undefined;3566;Hotels/Motels/Inns/Resorts
undefined;3567;Hotels/Motels/Inns/Resorts
undefined;3568;LADBROKE HOTELS
undefined;3569;Hotels/Motels/Inns/Resorts
undefined;3570;FORUM HOTELS
undefined;3571;Hotels/Motels/Inns/Resorts
undefined;3572;MIYAKO HOTELS
undefined;3573;SANDMAN HOTELS
undefined;3574;VENTURE INNS
undefined;3575;VAGABOND HOTELS
undefined;3576;Hotels/Motels/Inns/Resorts
undefined;3577;MANDARIN ORIENTAL HOTEL
undefined;3578;Hotels/Motels/Inns/Resorts
undefined;3579;HOTEL MERCURE
undefined;3580;Hotels/Motels/Inns/Resorts
undefined;3581;DELTA HOTEL
undefined;3582;Hotels/Motels/Inns/Resorts
undefined;3583;SAS HOTELS
undefined;3584;PRINCESS HOTELS INTERNATIONAL
undefined;3585;HUNGAR HOTELS
undefined;3586;SOKOS HOTELS
undefined;3587;DORAL HOTELS
undefined;3588;HELMSLEY HOTELS
undefined;3589;Hotels/Motels/Inns/Resorts
undefined;3590;FAIRMONT HOTELS
undefined;3591;SONESTA HOTELS
undefined;3592;OMNI HOTELS
undefined;3593;CUNARD HOTELS
undefined;3594;Hotels/Motels/Inns/Resorts
undefined;3595;HOSPITALITY INTERNATIONAL
undefined;3596;Hotels/Motels/Inns/Resorts
undefined;3597;Hotels/Motels/Inns/Resorts
undefined;3598;REGENT INTERNATIONAL HOTELS
undefined;3599;PANNONIA HOTELS
undefined;3600;Hotels/Motels/Inns/Resorts
undefined;3601;Hotels/Motels/Inns/Resorts
undefined;3602;Hotels/Motels/Inns/Resorts
undefined;3603;NOAH’S HOTELS
undefined;3604;Hotels/Motels/Inns/Resorts
undefined;3605;Hotels/Motels/Inns/Resorts
undefined;3606;Hotels/Motels/Inns/Resorts
undefined;3607;Hotels/Motels/Inns/Resorts
undefined;3608;Hotels/Motels/Inns/Resorts
undefined;3609;Hotels/Motels/Inns/Resorts
undefined;3610;Hotels/Motels/Inns/Resorts
undefined;3611;Hotels/Motels/Inns/Resorts
undefined;3612;MOVENPICK HOTELS
undefined;3613;Hotels/Motels/Inns/Resorts
undefined;3614;Hotels/Motels/Inns/Resorts
undefined;3615;TRAVELODGE
undefined;3616;Hotels/Motels/Inns/Resorts
undefined;3617;Hotels/Motels/Inns/Resorts
undefined;3618;Hotels/Motels/Inns/Resorts
undefined;3619;Hotels/Motels/Inns/Resorts
undefined;3620;TELFORD INTERNATIONAL
undefined;3621;Hotels/Motels/Inns/Resorts
undefined;3622;MERLIN HOTELS
undefined;3623;DORINT HOTELS
undefined;3624;Hotels/Motels/Inns/Resorts
undefined;3625;HOTLE UNIVERSALE
undefined;3626;PRINCE HOTELS
undefined;3627;Hotels/Motels/Inns/Resorts
undefined;3628;Hotels/Motels/Inns/Resorts
undefined;3629;DAN HOTELS
undefined;3630;Hotels/Motels/Inns/Resorts
undefined;3631;Hotels/Motels/Inns/Resorts
undefined;3632;Hotels/Motels/Inns/Resorts
undefined;3633;RANK HOTELS
undefined;3634;SWISSOTEL
undefined;3635;RESO HOTELS
undefined;3636;SAROVA HOTELS
undefined;3637;RAMADA INNS, RAMADA LIMITED
undefined;3638;HO JO INN, HOWARD JOHNSON
undefined;3639;MOUNT CHARLOTTE THISTLE
undefined;3640;HYATT HOTEL
undefined;3641;SOFITEL HOTELS
undefined;3642;NOVOTEL HOTELS
undefined;3643;STEIGENBERGER HOTELS
undefined;3644;ECONO LODGES
undefined;3645;QUEENS MOAT HOUSES
undefined;3646;SWALLOW HOTELS
undefined;3647;HUSA HOTELS
undefined;3648;DE VERE HOTELS
undefined;3649;RADISSON HOTELS
undefined;3650;RED ROOK INNS
undefined;3651;IMPERIAL LONDON HOTEL
undefined;3652;EMBASSY HOTELS
undefined;3653;PENTA HOTELS
undefined;3654;LOEWS HOTELS
undefined;3655;SCANDIC HOTELS
undefined;3656;SARA HOTELS
undefined;3657;OBEROI HOTELS
undefined;3658;OTANI HOTELS
undefined;3659;TAJ HOTELS INTERNATIONAL
undefined;3660;KNIGHTS INNS
undefined;3661;METROPOLE HOTELS
undefined;3662;Hotels/Motels/Inns/Resorts
undefined;3663;HOTELES EL PRESIDENTS
undefined;3664;FLAG INN
undefined;3665;HAMPTON INNS
undefined;3666;STAKIS HOTELS
undefined;3667;Hotels/Motels/Inns/Resorts
undefined;3668;MARITIM HOTELS
undefined;3669;Hotels/Motels/Inns/Resorts
undefined;3670;ARCARD HOTELS
undefined;3671;ARCTIA HOTELS
undefined;3672;CAMPANIEL HOTELS
undefined;3673;IBUSZ HOTELS
undefined;3674;RANTASIPI HOTELS
undefined;3675;INTERHOTEL CEDOK
undefined;3676;Hotels/Motels/Inns/Resorts
undefined;3677;CLIMAT DE FRANCE HOTELS
undefined;3678;CUMULUS HOTELS
undefined;3679;DANUBIUS HOTEL
undefined;3680;Hotels/Motels/Inns/Resorts
undefined;3681;ADAMS MARK HOTELS
undefined;3682;ALLSTAR INNS
undefined;3683;Hotels/Motels/Inns/Resorts
undefined;3684;BUDGET HOST INNS
undefined;3685;BUDGETEL HOTELS
undefined;3686;SUISSE CHALETS
undefined;3687;CLARION HOTELS
undefined;3688;COMPRI HOTELS
undefined;3689;CONSORT HOTELS
undefined;3690;COURTYARD BY MARRIOTT
undefined;3691;DILLION INNS
undefined;3692;DOUBLETREE HOTELS
undefined;3693;DRURY INNS
undefined;3694;ECONOMY INNS OF AMERICA
undefined;3695;EMBASSY SUITES
undefined;3696;EXEL INNS
undefined;3697;FARFIELD HOTELS
undefined;3698;HARLEY HOTELS
undefined;3699;MIDWAY MOTOR LODGE
undefined;3700;MOTEL 6
undefined;3701;GUEST QUARTERS (Formally PICKETT SUITE HOTELS)
undefined;3702;THE REGISTRY HOTELS
undefined;3703;RESIDENCE INNS
undefined;3704;ROYCE HOTELS
undefined;3705;SANDMAN INNS
undefined;3706;SHILO INNS
undefined;3707;SHONEY’S INNS
undefined;3708;Hotels/Motels/Inns/Resorts
undefined;3709;SUPER8 MOTELS
undefined;3710;THE RITZ CARLTON HOTELS
undefined;3711;FLAG INNS (AUSRALIA)
undefined;3712;GOLDEN CHAIN HOTEL
undefined;3713;QUALITY PACIFIC HOTEL
undefined;3714;FOUR SEASONS HOTEL (AUSTRALIA)
undefined;3715;FARIFIELD INN
undefined;3716;CARLTON HOTELS
undefined;3717;CITY LODGE HOTELS
undefined;3718;KAROS HOTELS
undefined;3719;PROTEA HOTELS
undefined;3720;SOUTHERN SUN HOTELS
undefined;3721;HILTON CONRAD
undefined;3722;WYNDHAM HOTEL AND RESORTS
undefined;3723;RICA HOTELS
undefined;3724;INER NOR HOTELS
undefined;3725;SEAINES PLANATION
undefined;3726;RIO SUITES
undefined;3727;BROADMOOR HOTEL
undefined;3728;BALLY’S HOTEL AND CASINO
undefined;3729;JOHN ASCUAGA’S NUGGET
undefined;3730;MGM GRAND HOTEL
undefined;3731;HARRAH’S HOTELS AND CASINOS
undefined;3732;OPRYLAND HOTEL
undefined;3733;BOCA RATON RESORT
undefined;3734;HARVEY/BRISTOL HOTELS
undefined;3735;Hotels/Motels/Inns/Resorts
undefined;3736;COLORADO BELLE/EDGEWATER RESORT
undefined;3737;RIVIERA HOTEL AND CASINO
undefined;3738;TROPICANA RESORT AND CASINO
undefined;3739;WOODSIDE HOTELS AND RESORTS
undefined;3740;TOWNPLACE SUITES
undefined;3741;MILLENIUM BROADWAY HOTEL
undefined;3742;CLUB MED
undefined;3743;BILTMORE HOTEL AND SUITES
undefined;3744;CAREFREE RESORTS
undefined;3745;ST. REGIS HOTEL
undefined;3746;THE ELIOT HOTEL
undefined;3747;CLUBCORP/CLUB RESORTS
undefined;3748;WELESLEY INNS
undefined;3749;THE BEVERLY HILLS HOTEL
